company,title,gender,race,bins,country,region,totalyearlycompensation,yearsofexperience,yearsatcompany,education
IBM,Product Manager,Other,Unknown,L5,USA,USA,133000,4.0,4.0,4.0
IBM,Software Engineer,Male,White,L5,USA,USA,145000,5.0,5.0,3.0
IBM,Product Designer,Male,Unknown,L5,USA,USA,123000,5.0,3.0,4.0
IBM,Data Scientist,Female,Asian,L5,USA,USA,160000,6.0,6.0,4.0
IBM,Software Engineer,Other,Unknown,L5,USA,USA,138000,8.0,8.0,3.0
IBM,Software Engineer,Male,White,L5,USA,USA,150000,3.0,1.0,3.0
IBM,Software Engineer,Other,Unknown,L5,USA,USA,145000,7.0,3.0,4.0
IBM,Software Engineer,Male,White,L5,USA,USA,130000,5.0,5.0,3.0
IBM,Software Engineer,Female,White,L5,USA,USA,160000,3.0,3.0,4.0
IBM,Software Engineer,Male,Asian,L5,Canada,Canada,97000,6.0,6.0,3.0
IBM,Product Manager,Male,White,L5,USA,USA,148000,4.0,4.0,4.0
IBM,Software Engineer,Male,Asian,L5,USA,USA,156000,6.0,3.0,4.0
IBM,Product Manager,Other,Unknown,L5,USA,USA,150000,14.0,3.0,4.0
IBM,Sales,Female,Asian,L5,USA,USA,205000,7.0,4.0,4.0
IBM,Software Engineer,Female,Asian,L5,USA,USA,169000,4.0,4.0,4.0
IBM,Product Manager,Other,Unknown,L5,USA,USA,145000,5.0,3.0,4.0
IBM,Hardware Engineer,Male,White,L5,USA,USA,134000,8.0,8.0,3.0
IBM,Technical Program Manager,Female,White,L5,USA,USA,124000,9.0,1.0,5.0
IBM,Product Manager,Male,White,L5,Israel,Middle East,136000,11.0,2.0,4.0
IBM,Software Engineer,Other,Unknown,L5,USA,USA,154000,6.0,6.0,4.0
IBM,Software Engineer,Female,Asian,L5,USA,USA,145000,3.0,3.0,3.0
IBM,Product Manager,Male,White,L5,USA,USA,158000,15.0,4.0,4.0
IBM,Software Engineer,Male,White,L5,USA,USA,160000,15.0,2.0,5.0
other,Software Engineer,Male,Unknown,L5,USA,USA,150000,6.0,2.0,4.0
IBM,Product Designer,Female,Unknown,L5,USA,USA,144000,7.0,6.0,3.0
IBM,Product Designer,Female,Asian,L5,USA,USA,165000,6.0,1.0,4.0
IBM,Software Engineer,Female,White,L5,USA,USA,150000,4.0,4.0,3.0
IBM,Software Engineer,Other,Unknown,L5,USA,USA,152000,15.0,3.0,4.0
IBM,Software Engineer,Other,Unknown,L5,USA,USA,190000,2.0,0.0,4.0
IBM,Management Consultant,Other,Unknown,L5,USA,USA,186000,5.0,2.0,4.0
IBM,Management Consultant,Other,Unknown,L5,USA,USA,191000,5.0,2.0,4.0
IBM,Marketing,Male,White,L5,USA,USA,130000,8.0,2.0,3.0
IBM,Solution Architect,Male,Hispanic,L5,USA,USA,117000,10.0,8.0,3.0
IBM,Solution Architect,Male,White,L5,United Kingdom,UK&IRE,111000,10.0,4.0,3.0
IBM,Product Manager,Male,Asian,L5,Canada,Canada,115000,6.0,6.0,4.0
IBM,Management Consultant,Female,White,L5,USA,USA,168000,20.0,3.0,3.0
IBM,Software Engineer,Male,White,L5,USA,USA,155000,8.0,5.0,3.0
IBM,Software Engineer,Male,White,L5,Israel,Middle East,133000,7.0,7.0,3.0
IBM,Software Engineer,Male,White,L5,USA,USA,145000,6.0,5.0,3.0
IBM,Software Engineer,Male,White,L5,USA,USA,152000,10.0,7.0,3.0
IBM,Data Scientist,Male,White,L5,USA,USA,145000,6.0,3.0,5.0
IBM,Software Engineer,Female,Asian,L5,USA,USA,168000,6.0,6.0,4.0
IBM,Product Manager,Other,Unknown,L5,USA,USA,178000,6.0,2.0,4.0
IBM,Software Engineer,Male,White,L5,USA,USA,144000,4.0,4.0,3.0
IBM,Software Engineer,Other,Unknown,L5,Ireland,UK&IRE,113000,10.0,3.0,4.0
IBM,Management Consultant,Male,Asian,L5,India,India,57000,14.0,0.0,4.0
IBM,Software Engineer,Other,Unknown,L5,USA,USA,156000,8.0,6.0,4.0
IBM,Software Engineer,Female,White,L6,USA,USA,173000,15.0,14.0,3.0
IBM,Data Scientist,Male,White,L6,USA,USA,191000,3.0,3.0,4.0
IBM,Sales,Male,Asian,L6,USA,USA,200000,19.0,19.0,3.0
IBM,Software Engineering Manager,Other,Unknown,L6,USA,USA,192000,7.0,6.0,3.0
other,Software Engineer,Male,White,L6,USA,USA,157000,8.0,1.0,3.0
IBM,Product Manager,Male,White,L6,USA,USA,271000,14.0,5.0,3.0
IBM,Business Analyst,Female,White,L6,USA,USA,155000,45.0,20.0,4.0
IBM,Software Engineer,Male,Hispanic,L6,USA,USA,159000,29.0,22.0,4.0
IBM,Solution Architect,Female,White,L6,USA,USA,155000,14.0,8.0,3.0
IBM,Solution Architect,Female,White,L6,USA,USA,155000,12.0,8.0,3.0
IBM,Data Scientist,Male,White,L6,USA,USA,174000,11.0,2.0,4.0
IBM,Product Designer,Male,White,L6,USA,USA,163000,8.0,2.0,4.0
